,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
125,beruwala,6.4788,79.9828,26.88,75,52,1.97,LK,1612412148
126,nikolskoye,59.7035,30.7861,-10.56,85,75,8.0,RU,1612412149
127,smithers,54.7804,-127.1743,-5.0,86,90,2.57,CA,1612412082
128,new norfolk,-42.7826,147.0587,27.22,37,58,1.34,AU,1612412151
129,macusani,-14.0833,-70.4333,3.17,90,100,2.05,PE,1612412152
130,shingu,33.7333,135.9833,11.0,50,40,3.09,JP,1612412153
131,sao felix do xingu,-6.6447,-51.995,22.59,92,41,0.5,BR,1612412155
132,hithadhoo,-0.6,73.0833,28.32,72,59,3.15,MV,1612412156
133,taoudenni,22.6783,-3.9836,18.7,25,0,2.95,ML,1612412158
134,upata,8.0086,-62.3989,23.89,94,44,0.89,VE,1612412159
135,camocim,-2.9022,-40.8411,24.77,86,35,4.7,BR,1612412160
136,victoria,22.2855,114.1577,24.0,35,0,4.63,HK,1612412161
137,bandar,2.05,99.75,27.2,83,99,1.09,ID,1612412162
138,iqaluit,63.7506,-68.5145,-20.0,77,90,1.03,CA,1612412163
139,busselton,-33.65,115.3333,22.78,42,0,1.34,AU,1612412138
140,muros,42.7762,-9.0603,11.67,86,1,4.5,ES,1612412166
141,brae,60.3964,-1.353,0.0,64,20,3.09,GB,1612412167
142,gerash,27.6652,54.1371,4.0,38,0,0.74,IR,1612412168
143,east london,-33.0153,27.9116,21.0,88,20,3.6,ZA,1612412169
144,kaitangata,-46.2817,169.8464,13.33,63,0,4.92,NZ,1612412170
145,brazzaville,-4.2658,15.2832,25.0,88,98,1.03,CG,1612412171
146,ilulissat,69.2167,-51.1,-20.0,34,6,4.12,GL,1612412173
147,port augusta,-32.5,137.7667,22.0,56,90,3.6,AU,1612412174
148,gigmoto,13.7796,124.39,26.35,82,48,7.39,PH,1612412175
149,bonthe,7.5264,-12.505,24.95,86,0,2.01,SL,1612412176
150,longyearbyen,78.2186,15.6401,-5.0,68,75,6.17,SJ,1612412177
151,presidente epitacio,-21.7633,-52.1156,25.08,84,100,0.59,BR,1612412178
152,debre sina,9.85,39.7667,6.89,57,0,0.47,ET,1612412179
153,arlit,18.7369,7.3853,13.98,35,4,1.12,NE,1612412180
154,kanye,-24.9667,25.3327,16.16,98,68,3.52,BW,1612412182
155,buraydah,26.326,43.975,12.0,62,0,2.57,SA,1612412183
156,carnarvon,-24.8667,113.6333,29.0,100,90,13.38,AU,1612412184
157,svetlogorsk,52.6333,29.7333,0.85,98,100,3.57,BY,1612412185
158,birao,10.2849,22.7882,20.91,24,0,0.76,CF,1612412186
159,wabana,47.6332,-52.9481,9.0,100,90,8.75,CA,1612412108
160,yomou,7.5603,-9.2653,21.59,96,92,2.53,GN,1612412188
161,puerto ayora,-0.7393,-90.3518,25.0,93,25,0.45,EC,1612412191
